Date,GameType,AwayScore,AwayTeam,HomeScore,HomeTeam,VenueName,AwayHR,HomeHR
2010-04-04,Regular Season,7,New York Yankees,9,Boston Red Sox,Fenway Park,2,1
2010-04-05,Regular Season,11,Philadelphia Phillies,1,Washington Nationals,Nationals Park,2,0
2010-04-05,Regular Season,1,Florida Marlins,7,New York Mets,Citi Field,0,1
2010-04-05,Regular Season,11,St. Louis Cardinals,6,Cincinnati Reds,Great American Ball Park,4,2
2010-04-05,Regular Season,5,Los Angeles Dodgers,11,Pittsburgh Pirates,PNC Park,0,3
2010-04-05,Regular Season,0,Cleveland Indians,6,Chicago White Sox,U.S. Cellular Field,0,2
2010-04-05,Regular Season,4,Toronto Blue Jays,5,Texas Rangers,Rangers Ballpark in Arlington,2,1
2010-04-05,Regular Season,5,Colorado Rockies,3,Milwaukee Brewers,Miller Park,1,1
2010-04-05,Regular Season,5,Chicago Cubs,16,Atlanta Braves,Turner Field,2,2
2010-04-05,Regular Season,8,Detroit Tigers,4,Kansas City Royals,Kauffman Stadium,0,1
2010-04-05,Regular Season,3,San Diego Padres,6,Arizona Diamondbacks,Chase Field,2,2
2010-04-05,Regular Season,5,San Francisco Giants,2,Houston Astros,Minute Maid Park,1,0
2010-04-05,Regular Season,5,Seattle Mariners,3,Oakland Athletics,Oakland Coliseum,1,0
2010-04-05,Regular Season,3,Minnesota Twins,6,Los Angeles Angels,Angel Stadium of Anaheim,1,3
2010-04-06,Regular Season,3,Baltimore Orioles,4,Tampa Bay Rays,Tropicana Field,3,1
2010-04-06,Regular Season,6,New York Yankees,4,Boston Red Sox,Fenway Park,1,1
2010-04-06,Regular Season,3,San Francisco Giants,0,Houston Astros,Minute Maid Park,0,0
2010-04-06,Regular Season,5,Colorado Rockies,7,Milwaukee Brewers,Miller Park,1,2
2010-04-06,Regular Season,6,San Diego Padres,3,Arizona Diamondbacks,Chase Field,2,0
2010-04-06,Regular Season,5,Minnesota Twins,3,Los Angeles Angels,Angel Stadium of Anaheim,3,1
2010-04-06,Regular Season,1,Seattle Mariners,2,Oakland Athletics,Oakland Coliseum,0,1
2010-04-07,Regular Season,4,Colorado Rockies,5,Milwaukee Brewers,Miller Park,1,0
2010-04-07,Regular Season,10,San Francisco Giants,4,Houston Astros,Minute Maid Park,2,0
2010-04-07,Regular Season,3,Los Angeles Dodgers,4,Pittsburgh Pirates,PNC Park,1,1
2010-04-07,Regular Season,8,Philadelphia Phillies,4,Washington Nationals,Nationals Park,1,1
2010-04-07,Regular Season,3,Baltimore Orioles,4,Tampa Bay Rays,Tropicana Field,0,1
2010-04-07,Regular Season,2,Chicago Cubs,3,Atlanta Braves,Turner Field,0,1
2010-04-07,Regular Season,7,Florida Marlins,6,New York Mets,Citi Field,3,0
2010-04-07,Regular Season,3,New York Yankees,1,Boston Red Sox,Fenway Park,1,0
2010-04-07,Regular Season,6,St. Louis Cardinals,3,Cincinnati Reds,Great American Ball Park,0,1
2010-04-07,Regular Season,7,Toronto Blue Jays,4,Texas Rangers,Rangers Ballpark in Arlington,3,2
2010-04-07,Regular Season,5,Cleveland Indians,3,Chicago White Sox,U.S. Cellular Field,0,1
2010-04-07,Regular Season,2,Detroit Tigers,3,Kansas City Royals,Kauffman Stadium,1,1
2010-04-07,Regular Season,3,San Diego Padres,5,Arizona Diamondbacks,Chase Field,1,4
2010-04-07,Regular Season,4,Minnesota Twins,2,Los Angeles Angels,Angel Stadium of Anaheim,2,0
2010-04-07,Regular Season,5,Seattle Mariners,6,Oakland Athletics,Oakland Coliseum,1,1
2010-04-08,Regular Season,10,Los Angeles Dodgers,2,Pittsburgh Pirates,PNC Park,1,0
2010-04-08,Regular Season,1,St. Louis Cardinals,2,Cincinnati Reds,Great American Ball Park,1,1
2010-04-08,Regular Season,3,Toronto Blue Jays,1,Texas Rangers,Rangers Ballpark in Arlington,1,0
2010-04-08,Regular Season,7,Detroit Tigers,3,Kansas City Royals,Kauffman Stadium,2,0
2010-04-08,Regular Season,2,Seattle Mariners,6,Oakland Athletics,Oakland Coliseum,0,0
2010-04-08,Regular Season,5,Philadelphia Phillies,6,Washington Nationals,Nationals Park,0,1
2010-04-08,Regular Season,5,Baltimore Orioles,4,Tampa Bay Rays,Tropicana Field,1,0
2010-04-08,Regular Season,2,Chicago Cubs,0,Atlanta Braves,Turner Field,2,0
2010-04-08,Regular Season,3,Florida Marlins,1,New York Mets,Citi Field,0,0
2010-04-08,Regular Season,5,Cleveland Indians,3,Chicago White Sox,U.S. Cellular Field,0,1
2010-04-08,Regular Season,10,Minnesota Twins,1,Los Angeles Angels,Angel Stadium of Anaheim,3,0
2010-04-09,Regular Season,2,Cleveland Indians,5,Detroit Tigers,Comerica Park,1,0
2010-04-09,Regular Season,7,Toronto Blue Jays,6,Baltimore Orioles,Oriole Park at Camden Yards,1,1
2010-04-09,Regular Season,0,San Diego Padres,7,Colorado Rockies,Coors Field,0,1
2010-04-09,Regular Season,4,Atlanta Braves,5,San Francisco Giants,AT&T Park,0,1
2010-04-09,Regular Season,7,Los Angeles Dodgers,3,Florida Marlins,Sun Life Stadium,0,0
2010-04-09,Regular Season,3,New York Yankees,9,Tampa Bay Rays,Tropicana Field,0,2
2010-04-09,Regular Season,2,Washington Nationals,8,New York Mets,Citi Field,0,4
2010-04-09,Regular Season,4,Chicago Cubs,5,Cincinnati Reds,Great American Ball Park,1,1
2010-04-09,Regular Season,8,Philadelphia Phillies,0,Houston Astros,Minute Maid Park,1,0
2010-04-09,Regular Season,2,Seattle Mariners,6,Texas Rangers,Rangers Ballpark in Arlington,1,1
2010-04-09,Regular Season,4,Minnesota Twins,3,Chicago White Sox,U.S. Cellular Field,0,0
2010-04-09,Regular Season,5,St. Louis Cardinals,4,Milwaukee Brewers,Miller Park,2,0
2010-04-09,Regular Season,3,Boston Red Sox,4,Kansas City Royals,Kauffman Stadium,1,2
2010-04-09,Regular Season,1,Pittsburgh Pirates,9,Arizona Diamondbacks,Chase Field,0,1
2010-04-09,Regular Season,10,Oakland Athletics,4,Los Angeles Angels,Angel Stadium of Anaheim,1,2
2010-04-10,Regular Season,2,Cleveland Indians,4,Detroit Tigers,Comerica Park,0,1
2010-04-10,Regular Season,2,Minnesota Twins,1,Chicago White Sox,U.S. Cellular Field,1,0
2010-04-10,Regular Season,4,Chicago Cubs,3,Cincinnati Reds,Great American Ball Park,3,1
2010-04-10,Regular Season,4,Washington Nationals,3,New York Mets,Citi Field,0,0
2010-04-10,Regular Season,10,New York Yankees,0,Tampa Bay Rays,Tropicana Field,1,0
2010-04-10,Regular Season,4,Seattle Mariners,3,Texas Rangers,Rangers Ballpark in Arlington,0,1
2010-04-10,Regular Season,7,St. Louis Cardinals,1,Milwaukee Brewers,Miller Park,2,0
2010-04-10,Regular Season,9,Philadelphia Phillies,6,Houston Astros,Minute Maid Park,2,2
2010-04-10,Regular Season,3,Toronto Blue Jays,0,Baltimore Orioles,Oriole Park at Camden Yards,0,0
2010-04-10,Regular Season,8,Boston Red Sox,3,Kansas City Royals,Kauffman Stadium,5,0
2010-04-10,Regular Season,6,Los Angeles Dodgers,7,Florida Marlins,Sun Life Stadium,1,1
2010-04-10,Regular Season,6,Pittsburgh Pirates,3,Arizona Diamondbacks,Chase Field,2,1
2010-04-10,Regular Season,5,San Diego Padres,4,Colorado Rockies,Coors Field,0,3
2010-04-10,Regular Season,3,Oakland Athletics,4,Los Angeles Angels,Angel Stadium of Anaheim,1,0
2010-04-10,Regular Season,7,Atlanta Braves,2,San Francisco Giants,AT&T Park,1,0
2010-04-11,Regular Season,8,Cleveland Indians,9,Detroit Tigers,Comerica Park,3,0
2010-04-11,Regular Season,1,Chicago Cubs,3,Cincinnati Reds,Great American Ball Park,0,0
2010-04-11,Regular Season,5,Los Angeles Dodgers,6,Florida Marlins,Sun Life Stadium,0,1
2010-04-11,Regular Season,5,Washington Nationals,2,New York Mets,Citi Field,1,1
2010-04-11,Regular Season,5,Toronto Blue Jays,2,Baltimore Orioles,Oriole Park at Camden Yards,4,0
2010-04-11,Regular Season,7,New York Yankees,3,Tampa Bay Rays,Tropicana Field,2,0
2010-04-11,Regular Season,4,Minnesota Twins,5,Chicago White Sox,U.S. Cellular Field,0,3
2010-04-11,Regular Season,2,Philadelphia Phillies,1,Houston Astros,Minute Maid Park,1,0
2010-04-11,Regular Season,8,Boston Red Sox,6,Kansas City Royals,Kauffman Stadium,1,2
2010-04-11,Regular Season,2,Seattle Mariners,9,Texas Rangers,Rangers Ballpark in Arlington,0,1
2010-04-11,Regular Season,2,San Diego Padres,4,Colorado Rockies,Coors Field,0,1
2010-04-11,Regular Season,9,Oakland Athletics,4,Los Angeles Angels,Angel Stadium of Anaheim,1,2
2010-04-11,Regular Season,3,Atlanta Braves,6,San Francisco Giants,AT&T Park,2,1
2010-04-11,Regular Season,6,Pittsburgh Pirates,15,Arizona Diamondbacks,Chase Field,2,4
2010-04-11,Regular Season,7,St. Louis Cardinals,8,Milwaukee Brewers,Miller Park,3,4
2010-04-12,Regular Season,10,Kansas City Royals,5,Detroit Tigers,Comerica Park,1,1
2010-04-12,Regular Season,5,Milwaukee Brewers,9,Chicago Cubs,Wrigley Field,1,3
2010-04-12,Regular Season,4,Texas Rangers,2,Cleveland Indians,Progressive Field,1,1
2010-04-12,Regular Season,4,Washington Nationals,7,Philadelphia Phillies,Citizens Bank Park,1,1
2010-04-12,Regular Season,2,Boston Red Sox,5,Minnesota Twins,Target Field,0,1
2010-04-12,Regular Season,0,Houston Astros,5,St. Louis Cardinals,Busch Stadium,0,1
2010-04-12,Regular Season,2,Atlanta Braves,17,San Diego Padres,PETCO Park,0,2
2010-04-12,Regular Season,4,Oakland Athletics,0,Seattle Mariners,Safeco Field,1,0
2010-04-12,Regular Season,5,Tampa Bay Rays,1,Baltimore Orioles,Oriole Park at Camden Yards,2,1
2010-04-12,Regular Season,6,Cincinnati Reds,5,Florida Marlins,Sun Life Stadium,3,0
2010-04-12,Regular Season,8,Chicago White Sox,7,Toronto Blue Jays,Rogers Centre,3,2
2010-04-12,Regular Season,3,Pittsburgh Pirates,9,San Francisco Giants,AT&T Park,0,1
2010-04-13,Regular Season,5,Los Angeles Angels,7,New York Yankees,Yankee Stadium,2,2
2010-04-13,Regular Season,5,Kansas City Royals,6,Detroit Tigers,Comerica Park,2,0
2010-04-13,Regular Season,5,Arizona Diamondbacks,9,Los Angeles Dodgers,Dodger Stadium,1,4
2010-04-13,Regular Season,8,Tampa Bay Rays,6,Baltimore Orioles,Oriole Park at Camden Yards,1,3
2010-04-13,Regular Season,2,Chicago White Sox,4,Toronto Blue Jays,Rogers Centre,1,0
2010-04-13,Regular Season,10,Cincinnati Reds,8,Florida Marlins,Sun Life Stadium,2,1
2010-04-13,Regular Season,3,New York Mets,11,Colorado Rockies,Coors Field,1,1
2010-04-13,Regular Season,0,Oakland Athletics,3,Seattle Mariners,Safeco Field,0,1
2010-04-13,Regular Season,6,Pittsburgh Pirates,5,San Francisco Giants,AT&T Park,2,1
2010-04-14,Regular Season,5,Los Angeles Angels,3,New York Yankees,Yankee Stadium,0,0
2010-04-14,Regular Season,7,Kansas City Royals,3,Detroit Tigers,Comerica Park,1,1
2010-04-14,Regular Season,6,Boston Red Sox,3,Minnesota Twins,Target Field,1,1
2010-04-14,Regular Season,9,Tampa Bay Rays,1,Baltimore Orioles,Oriole Park at Camden Yards,3,1
2010-04-14,Regular Season,6,Milwaukee Brewers,7,Chicago Cubs,Wrigley Field,0,1
2010-04-14,Regular Season,0,Pittsburgh Pirates,6,San Francisco Giants,AT&T Park,0,3
2010-04-14,Regular Season,6,Texas Rangers,2,Cleveland Indians,Progressive Field,1,0
2010-04-14,Regular Season,7,Washington Nationals,14,Philadelphia Phillies,Citizens Bank Park,0,3
2010-04-14,Regular Season,11,Chicago White Sox,1,Toronto Blue Jays,Rogers Centre,2,0
2010-04-14,Regular Season,3,Cincinnati Reds,5,Florida Marlins,Sun Life Stadium,1,2
2010-04-14,Regular Season,1,Houston Astros,2,St. Louis Cardinals,Busch Stadium,0,0
2010-04-14,Regular Season,5,New York Mets,6,Colorado Rockies,Coors Field,2,2
2010-04-14,Regular Season,6,Atlanta Braves,1,San Diego Padres,PETCO Park,1,0
2010-04-14,Regular Season,9,Arizona Diamondbacks,7,Los Angeles Dodgers,Dodger Stadium,2,1
2010-04-14,Regular Season,2,Oakland Athletics,4,Seattle Mariners,Safeco Field,1,0
2010-04-15,Regular Season,2,Texas Rangers,3,Cleveland Indians,Progressive Field,1,1
2010-04-15,Regular Season,0,Boston Red Sox,8,Minnesota Twins,Target Field,0,1
2010-04-15,Regular Season,5,Houston Astros,1,St. Louis Cardinals,Busch Stadium,0,0
2010-04-15,Regular Season,8,Milwaukee Brewers,6,Chicago Cubs,Wrigley Field,2,3
2010-04-15,Regular Season,7,Washington Nationals,5,Philadelphia Phillies,Citizens Bank Park,2,2
2010-04-15,Regular Season,5,New York Mets,0,Colorado Rockies,Coors Field,0,0
2010-04-15,Regular Season,6,Atlanta Braves,2,San Diego Padres,PETCO Park,1,1
2010-04-15,Regular Season,2,Los Angeles Angels,6,New York Yankees,Yankee Stadium,1,3
2010-04-15,Regular Season,3,Chicago White Sox,7,Toronto Blue Jays,Rogers Centre,2,1
2010-04-15,Regular Season,2,Cincinnati Reds,10,Florida Marlins,Sun Life Stadium,0,1
2010-04-15,Regular Season,2,Baltimore Orioles,6,Oakland Athletics,Oakland Coliseum,0,0
2010-04-15,Regular Season,5,Arizona Diamondbacks,6,Los Angeles Dodgers,Dodger Stadium,1,1
2010-04-16,Regular Season,2,Houston Astros,7,Chicago Cubs,Wrigley Field,0,1
2010-04-16,Regular Season,6,Florida Marlins,8,Philadelphia Phillies,Citizens Bank Park,1,2
2010-04-16,Regular Season,3,Milwaukee Brewers,5,Washington Nationals,Nationals Park,1,1
2010-04-16,Regular Season,1,Texas Rangers,5,New York Yankees,Yankee Stadium,0,0
2010-04-16,Regular Season,2,Chicago White Sox,6,Cleveland Indians,Progressive Field,1,1
2010-04-16,Regular Season,3,Cincinnati Reds,4,Pittsburgh Pirates,PNC Park,0,0
2010-04-16,Regular Season,7,Los Angeles Angels,5,Toronto Blue Jays,Rogers Centre,1,3
2010-04-16,Regular Season,3,Tampa Bay Rays,1,Boston Red Sox,Fenway Park,1,1
2010-04-16,Regular Season,5,Colorado Rockies,9,Atlanta Braves,Turner Field,1,1
2010-04-16,Regular Season,3,Kansas City Royals,10,Minnesota Twins,Target Field,1,0
2010-04-16,Regular Season,3,New York Mets,4,St. Louis Cardinals,Busch Stadium,0,1
2010-04-16,Regular Season,3,Arizona Diamondbacks,6,San Diego Padres,PETCO Park,0,1
2010-04-16,Regular Season,2,Baltimore Orioles,4,Oakland Athletics,Oakland Coliseum,1,0
2010-04-16,Regular Season,8,San Francisco Giants,10,Los Angeles Dodgers,Dodger Stadium,2,3
2010-04-16,Regular Season,3,Detroit Tigers,11,Seattle Mariners,Safeco Field,0,0
2010-04-17,Regular Season,4,Houston Astros,3,Chicago Cubs,Wrigley Field,1,0
2010-04-17,Regular Season,0,Milwaukee Brewers,8,Washington Nationals,Nationals Park,0,1
2010-04-17,Regular Season,3,Texas Rangers,7,New York Yankees,Yankee Stadium,1,2
2010-04-17,Regular Season,6,Los Angeles Angels,3,Toronto Blue Jays,Rogers Centre,2,0
2010-04-17,Regular Season,5,Kansas City Royals,6,Minnesota Twins,Target Field,2,2
2010-04-17,Regular Season,3,Baltimore Orioles,4,Oakland Athletics,Oakland Coliseum,0,0
2010-04-17,Regular Season,2,Chicago White Sox,3,Cleveland Indians,Progressive Field,0,1
2010-04-17,Regular Season,2,New York Mets,1,St. Louis Cardinals,Busch Stadium,0,0
2010-04-17,Regular Season,9,San Francisco Giants,0,Los Angeles Dodgers,Dodger Stadium,0,0
2010-04-17,Regular Season,4,Cincinnati Reds,5,Pittsburgh Pirates,PNC Park,0,1
2010-04-17,Regular Season,5,Florida Marlins,1,Philadelphia Phillies,Citizens Bank Park,1,1
2010-04-17,Regular Season,3,Tampa Bay Rays,1,Boston Red Sox,Fenway Park,1,1
2010-04-17,Regular Season,4,Colorado Rockies,0,Atlanta Braves,Turner Field,0,0
2010-04-17,Regular Season,6,Tampa Bay Rays,5,Boston Red Sox,Fenway Park,1,3
2010-04-17,Regular Season,0,Arizona Diamondbacks,5,San Diego Padres,PETCO Park,0,1
2010-04-17,Regular Season,2,Detroit Tigers,4,Seattle Mariners,Safeco Field,1,0
2010-04-18,Regular Season,4,Chicago White Sox,7,Cleveland Indians,Progressive Field,0,1
2010-04-18,Regular Season,2,Texas Rangers,5,New York Yankees,Yankee Stadium,0,2
2010-04-18,Regular Season,3,Los Angeles Angels,1,Toronto Blue Jays,Rogers Centre,0,1
2010-04-18,Regular Season,3,Cincinnati Reds,5,Pittsburgh Pirates,PNC Park,2,0
2010-04-18,Regular Season,3,Colorado Rockies,4,Atlanta Braves,Turner Field,2,0
2010-04-18,Regular Season,2,Florida Marlins,0,Philadelphia Phillies,Citizens Bank Park,1,0
2010-04-18,Regular Season,11,Milwaukee Brewers,7,Washington Nationals,Nationals Park,1,0
2010-04-18,Regular Season,7,Tampa Bay Rays,1,Boston Red Sox,Fenway Park,2,0
2010-04-18,Regular Season,10,Kansas City Royals,5,Minnesota Twins,Target Field,2,0
2010-04-18,Regular Season,3,Houston Astros,2,Chicago Cubs,Wrigley Field,0,0
2010-04-18,Regular Season,3,Arizona Diamondbacks,5,San Diego Padres,PETCO Park,1,1
2010-04-18,Regular Season,8,Baltimore Orioles,3,Oakland Athletics,Oakland Coliseum,1,0
2010-04-18,Regular Season,4,Detroit Tigers,2,Seattle Mariners,Safeco Field,1,1
2010-04-18,Regular Season,1,San Francisco Giants,2,Los Angeles Dodgers,Dodger Stadium,1,1
2010-04-18,Regular Season,3,New York Mets,5,St. Louis Cardinals,Busch Stadium,0,2
2010-04-19,Regular Season,8,Tampa Bay Rays,2,Boston Red Sox,Fenway Park,1,1
2010-04-19,Regular Season,2,Colorado Rockies,5,Washington Nationals,Nationals Park,0,1
2010-04-19,Regular Season,1,Kansas City Royals,8,Toronto Blue Jays,Rogers Centre,0,3
2010-04-19,Regular Season,1,Chicago Cubs,6,New York Mets,Citi Field,0,1
2010-04-19,Regular Season,4,St. Louis Cardinals,2,Arizona Diamondbacks,Chase Field,1,0
2010-04-19,Regular Season,0,Detroit Tigers,2,Los Angeles Angels,Angel Stadium of Anaheim,0,0
2010-04-19,Regular Season,2,San Francisco Giants,3,San Diego Padres,PETCO Park,1,1
2010-04-19,Regular Season,2,Baltimore Orioles,8,Seattle Mariners,Safeco Field,1,1
2010-04-20,Regular Season,10,Colorado Rockies,4,Washington Nationals,Nationals Park,2,1
2010-04-20,Regular Season,8,Milwaukee Brewers,1,Pittsburgh Pirates,PNC Park,1,0
2010-04-20,Regular Season,3,Kansas City Royals,4,Toronto Blue Jays,Rogers Centre,0,1
2010-04-20,Regular Season,0,Chicago Cubs,4,New York Mets,Citi Field,0,1
2010-04-20,Regular Season,9,Los Angeles Dodgers,11,Cincinnati Reds,Great American Ball Park,1,2
2010-04-20,Regular Season,3,Philadelphia Phillies,4,Atlanta Braves,Turner Field,0,3
2010-04-20,Regular Season,6,Texas Rangers,7,Boston Red Sox,Fenway Park,0,2
2010-04-20,Regular Season,5,Florida Marlins,7,Houston Astros,Minute Maid Park,1,1
2010-04-20,Regular Season,1,Cleveland Indians,5,Minnesota Twins,Target Field,1,0
2010-04-20,Regular Season,1,Tampa Bay Rays,4,Chicago White Sox,U.S. Cellular Field,1,2
2010-04-20,Regular Season,7,St. Louis Cardinals,9,Arizona Diamondbacks,Chase Field,3,1
2010-04-20,Regular Season,5,Detroit Tigers,6,Los Angeles Angels,Angel Stadium of Anaheim,0,0
2010-04-20,Regular Season,7,New York Yankees,3,Oakland Athletics,Oakland Coliseum,1,2
2010-04-20,Regular Season,0,San Francisco Giants,1,San Diego Padres,PETCO Park,0,0
2010-04-20,Regular Season,1,Baltimore Orioles,3,Seattle Mariners,Safeco Field,0,0
2010-04-21,Regular Season,4,Kansas City Royals,3,Toronto Blue Jays,Rogers Centre,2,1
2010-04-21,Regular Season,2,San Francisco Giants,5,San Diego Padres,PETCO Park,1,2
2010-04-21,Regular Season,4,Colorado Rockies,6,Washington Nationals,Nationals Park,1,0
2010-04-21,Regular Season,8,Milwaukee Brewers,0,Pittsburgh Pirates,PNC Park,3,0
2010-04-21,Regular Season,9,Chicago Cubs,3,New York Mets,Citi Field,1,1
2010-04-21,Regular Season,14,Los Angeles Dodgers,6,Cincinnati Reds,Great American Ball Park,2,2
2010-04-21,Regular Season,2,Philadelphia Phillies,0,Atlanta Braves,Turner Field,0,0
2010-04-21,Regular Season,7,Texas Rangers,8,Boston Red Sox,Fenway Park,1,3
2010-04-21,Regular Season,4,Florida Marlins,5,Houston Astros,Minute Maid Park,0,1
2010-04-21,Regular Season,0,Cleveland Indians,6,Minnesota Twins,Target Field,0,1
2010-04-21,Regular Season,12,Tampa Bay Rays,0,Chicago White Sox,U.S. Cellular Field,1,0
2010-04-21,Regular Season,9,St. Louis Cardinals,4,Arizona Diamondbacks,Chase Field,3,0
2010-04-21,Regular Season,4,Detroit Tigers,3,Los Angeles Angels,Angel Stadium of Anaheim,2,1
2010-04-21,Regular Season,3,New York Yankees,1,Oakland Athletics,Oakland Coliseum,0,0
2010-04-21,Regular Season,1,Baltimore Orioles,4,Seattle Mariners,Safeco Field,0,0
2010-04-22,Regular Season,20,Milwaukee Brewers,0,Pittsburgh Pirates,PNC Park,4,0
2010-04-22,Regular Season,8,Cleveland Indians,1,Minnesota Twins,Target Field,1,0
2010-04-22,Regular Season,2,New York Yankees,4,Oakland Athletics,Oakland Coliseum,2,1
2010-04-22,Regular Season,2,Colorado Rockies,0,Washington Nationals,Nationals Park,2,0
2010-04-22,Regular Season,2,Chicago Cubs,5,New York Mets,Citi Field,0,0
2010-04-22,Regular Season,5,Los Angeles Dodgers,8,Cincinnati Reds,Great American Ball Park,2,1
2010-04-22,Regular Season,8,Philadelphia Phillies,3,Atlanta Braves,Turner Field,0,0
2010-04-22,Regular Season,3,Texas Rangers,0,Boston Red Sox,Fenway Park,0,0
2010-04-22,Regular Season,5,Florida Marlins,1,Houston Astros,Minute Maid Park,0,0
2010-04-22,Regular Season,10,Tampa Bay Rays,2,Chicago White Sox,U.S. Cellular Field,0,1
2010-04-22,Regular Season,5,Detroit Tigers,4,Los Angeles Angels,Angel Stadium of Anaheim,0,1
2010-04-23,Regular Season,1,Los Angeles Dodgers,5,Washington Nationals,Nationals Park,0,2
2010-04-23,Regular Season,10,San Diego Padres,4,Cincinnati Reds,Great American Ball Park,2,0
2010-04-23,Regular Season,6,Toronto Blue Jays,5,Tampa Bay Rays,Tropicana Field,1,2
2010-04-23,Regular Season,2,Atlanta Braves,5,New York Mets,Citi Field,0,1
2010-04-23,Regular Season,3,Baltimore Orioles,4,Boston Red Sox,Fenway Park,1,1
2010-04-23,Regular Season,3,Pittsburgh Pirates,4,Houston Astros,Minute Maid Park,2,0
2010-04-23,Regular Season,4,Detroit Tigers,5,Texas Rangers,Rangers Ballpark in Arlington,0,1
2010-04-23,Regular Season,8,Minnesota Twins,3,Kansas City Royals,Kauffman Stadium,2,1
2010-04-23,Regular Season,6,Seattle Mariners,7,Chicago White Sox,U.S. Cellular Field,1,4
2010-04-23,Regular Season,8,Chicago Cubs,1,Milwaukee Brewers,Miller Park,2,0
2010-04-23,Regular Season,4,Philadelphia Phillies,7,Arizona Diamondbacks,Chase Field,0,5
2010-04-23,Regular Season,4,New York Yankees,6,Los Angeles Angels,Angel Stadium of Anaheim,1,1
2010-04-23,Regular Season,0,Cleveland Indians,10,Oakland Athletics,Oakland Coliseum,0,1
2010-04-23,Regular Season,1,St. Louis Cardinals,4,San Francisco Giants,AT&T Park,0,0
2010-04-24,Regular Season,4,Florida Marlins,1,Colorado Rockies,Coors Field,2,0
2010-04-24,Regular Season,1,Florida Marlins,8,Colorado Rockies,Coors Field,0,1
2010-04-24,Regular Season,4,Los Angeles Dodgers,3,Washington Nationals,Nationals Park,2,0
2010-04-24,Regular Season,1,Atlanta Braves,3,New York Mets,Citi Field,0,0
2010-04-24,Regular Season,5,San Diego Padres,0,Cincinnati Reds,Great American Ball Park,2,0
2010-04-24,Regular Season,6,Cleveland Indians,1,Oakland Athletics,Oakland Coliseum,0,0
2010-04-24,Regular Season,7,New York Yankees,1,Los Angeles Angels,Angel Stadium of Anaheim,0,0
2010-04-24,Regular Season,4,Seattle Mariners,5,Chicago White Sox,U.S. Cellular Field,1,2
2010-04-24,Regular Season,3,Toronto Blue Jays,9,Tampa Bay Rays,Tropicana Field,2,1
2010-04-24,Regular Season,2,Pittsburgh Pirates,5,Houston Astros,Minute Maid Park,1,1
2010-04-24,Regular Season,6,Baltimore Orioles,7,Boston Red Sox,Fenway Park,2,3
2010-04-24,Regular Season,5,Chicago Cubs,1,Milwaukee Brewers,Miller Park,0,0
2010-04-24,Regular Season,9,Minnesota Twins,7,Kansas City Royals,Kauffman Stadium,1,0
2010-04-24,Regular Season,8,Detroit Tigers,4,Texas Rangers,Rangers Ballpark in Arlington,0,0
2010-04-24,Regular Season,3,Philadelphia Phillies,2,Arizona Diamondbacks,Chase Field,3,1
2010-04-24,Regular Season,0,St. Louis Cardinals,2,San Francisco Giants,AT&T Park,0,0
2010-04-25,Regular Season,4,San Diego Padres,5,Cincinnati Reds,Great American Ball Park,1,1
2010-04-25,Regular Season,7,Baltimore Orioles,6,Boston Red Sox,Fenway Park,1,0
2010-04-25,Regular Season,0,Los Angeles Dodgers,1,Washington Nationals,Nationals Park,0,0
2010-04-25,Regular Season,0,Toronto Blue Jays,6,Tampa Bay Rays,Tropicana Field,0,0
2010-04-25,Regular Season,3,Pittsburgh Pirates,10,Houston Astros,Minute Maid Park,0,1
2010-04-25,Regular Season,2,Seattle Mariners,3,Chicago White Sox,U.S. Cellular Field,1,1
2010-04-25,Regular Season,12,Chicago Cubs,2,Milwaukee Brewers,Miller Park,4,0
2010-04-25,Regular Season,3,Minnesota Twins,4,Kansas City Royals,Kauffman Stadium,1,1
2010-04-25,Regular Season,4,Detroit Tigers,8,Texas Rangers,Rangers Ballpark in Arlington,1,1
2010-04-25,Regular Season,4,New York Yankees,8,Los Angeles Angels,Angel Stadium of Anaheim,2,2
2010-04-25,Regular Season,0,Cleveland Indians,11,Oakland Athletics,Oakland Coliseum,0,1
2010-04-25,Regular Season,2,St. Louis Cardinals,0,San Francisco Giants,AT&T Park,1,0
2010-04-25,Regular Season,6,Philadelphia Phillies,8,Arizona Diamondbacks,Chase Field,1,2
2010-04-25,Regular Season,4,Florida Marlins,8,Colorado Rockies,Coors Field,0,3
2010-04-25,Regular Season,0,Atlanta Braves,1,New York Mets,Citi Field,0,0
2010-04-26,Regular Season,13,Boston Red Sox,12,Toronto Blue Jays,Rogers Centre,0,2
2010-04-26,Regular Season,1,San Diego Padres,10,Florida Marlins,Sun Life Stadium,0,2
2010-04-26,Regular Season,3,Washington Nationals,4,Chicago Cubs,Wrigley Field,0,0
2010-04-26,Regular Season,8,Detroit Tigers,6,Texas Rangers,Rangers Ballpark in Arlington,3,1
2010-04-26,Regular Season,3,Pittsburgh Pirates,17,Milwaukee Brewers,Miller Park,0,2
2010-04-26,Regular Season,1,Seattle Mariners,3,Kansas City Royals,Kauffman Stadium,0,1
2010-04-26,Regular Season,3,Atlanta Braves,4,St. Louis Cardinals,Busch Stadium,0,1
2010-04-26,Regular Season,5,Arizona Diamondbacks,3,Colorado Rockies,Coors Field,1,1
2010-04-26,Regular Season,2,Cleveland Indians,5,Los Angeles Angels,Angel Stadium of Anaheim,1,2
